race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608311609,2026-08-31,1-3-2,1-2-4,5,168.8,0.04211745524863934,7.109426445970322,False,0,9.514835799999998
202608311612,2026-08-31,1-3-2,2-1-5,4,85.2,0.04845702430586154,4.128538470859403,False,0,9.33093105
202608311903,2026-08-31,1-4-2,5-6-1,4,561.4,0.024769059786457662,13.905350164117332,False,0,8.430942916666668
202608312001,2026-08-31,1-3-4,3-1-6,9,65.8,0.033233843336520866,2.186786891543073,False,0,9.472403766666668
202608312008,2026-08-31,2-1-5,3-1-5,2,47.3,0.059109231027235996,2.7958666275882624,False,0,8.52686805
202609010604,2026-09-01,1-2-3,3-1-4,3,327.9,0.05145086986483245,16.87074022867856,False,0,8.55781105
202609010605,2026-09-01,3-1-2,2-1-3,5,145.2,0.04450334459492508,6.461885635183122,False,0,9.590059866666667
202609010609,2026-09-01,2-1-3,2-1-6,9,334.4,0.033661315780410234,11.256343996969182,False,0,9.546784883333334
202609010801,2026-09-01,4-1-5,2-1-6,10,204.1,0.03341890100213207,6.820797694535156,False,0,9.557708183333334
202609010802,2026-09-01,4-2-3,5-1-4,8,288.0,0.024148859694304702,6.954871591959754,False,0,8.607223466666666
